window_id,source_id,strategy_authority,strategy_fear,imp_public,imp_financial,strategy_info_extraction_sem,sensitive_info_request_sem,auth_info_request_sem,strategy_diversity_sem,action_diversity_sem,ix_identityclaim_authority_sem,ix_info_sensitive_sem,signal_family_count_delta_sem,y_phishing,split,window_count_in_case,sample_weight_case_equal
normal_21-1_bk_01_005083__w0007,normal_21-1_bk_01_005083,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,9,0.1111111111111111
normal_21-1_bk_01_005083__w0008,normal_21-1_bk_01_005083,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,9,0.1111111111111111
normal_21-1_bk_01_010610__w0000,normal_21-1_bk_01_010610,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,2,0.5
normal_21-1_bk_01_010610__w0001,normal_21-1_bk_01_010610,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,train,2,0.5
normal_21-1_bk_01_010758__w0000,normal_21-1_bk_01_010758,0,0,0,1,0,0,0,0,0,0,0,0.0,0,validation,5,0.2
normal_21-1_bk_01_010758__w0001,normal_21-1_bk_01_010758,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,validation,5,0.2
normal_21-1_bk_01_010758__w0002,normal_21-1_bk_01_010758,0,0,0,0,1,0,0,1,0,0,0,1.0,0,validation,5,0.2
normal_21-1_bk_01_010758__w0003,normal_21-1_bk_01_010758,0,0,0,0,1,0,0,1,0,0,0,0.0,0,validation,5,0.2
normal_21-1_bk_01_010758__w0004,normal_21-1_bk_01_010758,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,validation,5,0.2
normal_21-1_bk_01_011826__w0000,normal_21-1_bk_01_011826,0,0,0,1,0,0,0,0,0,0,0,0.0,0,validation,5,0.2
normal_21-1_bk_01_011826__w0001,normal_21-1_bk_01_011826,0,0,0,0,1,0,1,1,1,0,0,1.0,0,validation,5,0.2
normal_21-1_bk_01_011826__w0002,normal_21-1_bk_01_011826,0,0,0,0,1,0,1,1,1,0,0,0.0,0,validation,5,0.2
normal_21-1_bk_01_011826__w0003,normal_21-1_bk_01_011826,0,0,0,0,1,0,1,1,1,0,0,0.0,0,validation,5,0.2
normal_21-1_bk_01_011826__w0004,normal_21-1_bk_01_011826,0,0,0,0,0,0,0,0,0,0,0,-2.0,0,validation,5,0.2
normal_21-1_bk_01_014751__w0000,normal_21-1_bk_01_014751,0,0,0,1,1,0,0,1,0,0,0,0.0,0,test,5,0.2
normal_21-1_bk_01_014751__w0001,normal_21-1_bk_01_014751,0,0,0,0,1,0,1,1,1,0,0,0.0,0,test,5,0.2
normal_21-1_bk_01_014751__w0002,normal_21-1_bk_01_014751,0,0,0,0,1,0,1,1,1,0,0,0.0,0,test,5,0.2
normal_21-1_bk_01_014751__w0003,normal_21-1_bk_01_014751,0,0,0,0,0,0,0,0,0,0,0,-2.0,0,test,5,0.2
normal_21-1_bk_01_014751__w0004,normal_21-1_bk_01_014751,0,0,0,0,0,0,0,0,0,0,0,0.0,0,test,5,0.2
normal_21-1_bk_01_015893__w0000,normal_21-1_bk_01_015893,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,1,1.0
normal_21-1_bk_01_017755__w0000,normal_21-1_bk_01_017755,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,4,0.25
normal_21-1_bk_01_017755__w0001,normal_21-1_bk_01_017755,0,0,0,0,0,0,0,1,1,0,0,1.0,0,train,4,0.25
normal_21-1_bk_01_017755__w0002,normal_21-1_bk_01_017755,0,0,0,0,0,0,0,1,1,0,0,0.0,0,train,4,0.25
normal_21-1_bk_01_017755__w0003,normal_21-1_bk_01_017755,0,0,0,0,0,0,0,0,0,0,0,-2.0,0,train,4,0.25
normal_21-1_bk_01_017911__w0000,normal_21-1_bk_01_017911,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,5,0.2
normal_21-1_bk_01_017911__w0001,normal_21-1_bk_01_017911,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,train,5,0.2
normal_21-1_bk_01_017911__w0002,normal_21-1_bk_01_017911,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,5,0.2
normal_21-1_bk_01_017911__w0003,normal_21-1_bk_01_017911,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,5,0.2
normal_21-1_bk_01_017911__w0004,normal_21-1_bk_01_017911,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,5,0.2
normal_21-1_bk_01_018381__w0000,normal_21-1_bk_01_018381,0,0,0,1,0,0,0,0,0,0,0,0.0,0,test,7,0.14285714285714285
normal_21-1_bk_01_018381__w0001,normal_21-1_bk_01_018381,0,0,0,1,1,0,1,2,1,0,0,3.0,0,test,7,0.14285714285714285
normal_21-1_bk_01_018381__w0002,normal_21-1_bk_01_018381,0,0,0,0,1,0,1,2,1,0,0,-1.0,0,test,7,0.14285714285714285
normal_21-1_bk_01_018381__w0003,normal_21-1_bk_01_018381,0,0,0,0,0,0,0,0,0,0,0,-3.0,0,test,7,0.14285714285714285
normal_21-1_bk_01_018381__w0004,normal_21-1_bk_01_018381,0,0,0,0,0,0,0,0,0,0,0,0.0,0,test,7,0.14285714285714285
normal_21-1_bk_01_018381__w0005,normal_21-1_bk_01_018381,0,0,0,0,0,0,0,0,0,0,0,0.0,0,test,7,0.14285714285714285
normal_21-1_bk_01_018381__w0006,normal_21-1_bk_01_018381,0,0,0,0,0,0,0,0,0,0,0,0.0,0,test,7,0.14285714285714285
normal_21-1_bk_01_020476__w0000,normal_21-1_bk_01_020476,0,0,0,1,1,0,0,2,0,0,0,0.0,0,train,3,0.3333333333333333
normal_21-1_bk_01_020476__w0001,normal_21-1_bk_01_020476,0,0,0,0,1,0,1,2,1,0,0,0.0,0,train,3,0.3333333333333333
normal_21-1_bk_01_020476__w0002,normal_21-1_bk_01_020476,0,0,0,0,1,0,1,1,1,0,0,-1.0,0,train,3,0.3333333333333333
normal_21-1_bk_01_022058__w0000,normal_21-1_bk_01_022058,0,0,0,0,1,0,0,1,0,0,0,0.0,0,train,11,0.09090909090909091
normal_21-1_bk_01_022058__w0001,normal_21-1_bk_01_022058,0,0,0,0,1,0,0,1,0,0,0,0.0,0,train,11,0.09090909090909091
normal_21-1_bk_01_022058__w0002,normal_21-1_bk_01_022058,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,train,11,0.09090909090909091
normal_21-1_bk_01_022058__w0003,normal_21-1_bk_01_022058,0,0,0,0,1,0,1,1,1,0,0,2.0,0,train,11,0.09090909090909091
normal_21-1_bk_01_022058__w0004,normal_21-1_bk_01_022058,0,0,0,0,1,0,1,1,1,0,0,0.0,0,train,11,0.09090909090909091
normal_21-1_bk_01_022058__w0005,normal_21-1_bk_01_022058,0,0,0,0,1,0,0,1,0,0,0,-1.0,0,train,11,0.09090909090909091
normal_21-1_bk_01_022058__w0006,normal_21-1_bk_01_022058,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,train,11,0.09090909090909091
normal_21-1_bk_01_022058__w0007,normal_21-1_bk_01_022058,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,11,0.09090909090909091
normal_21-1_bk_01_022058__w0008,normal_21-1_bk_01_022058,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,11,0.09090909090909091
normal_21-1_bk_01_022058__w0009,normal_21-1_bk_01_022058,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,11,0.09090909090909091
normal_21-1_bk_01_022058__w0010,normal_21-1_bk_01_022058,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,11,0.09090909090909091
normal_21-1_bk_01_025338__w0000,normal_21-1_bk_01_025338,0,0,0,1,0,0,0,0,0,0,0,0.0,0,validation,4,0.25
normal_21-1_bk_01_025338__w0001,normal_21-1_bk_01_025338,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,validation,4,0.25
normal_21-1_bk_01_025338__w0002,normal_21-1_bk_01_025338,0,0,0,0,0,0,0,0,0,0,0,0.0,0,validation,4,0.25
normal_21-1_bk_01_025338__w0003,normal_21-1_bk_01_025338,0,0,0,0,0,0,0,0,0,0,0,0.0,0,validation,4,0.25
normal_21-1_bk_01_025728__w0000,normal_21-1_bk_01_025728,0,0,0,1,1,0,0,1,0,0,0,0.0,0,train,3,0.3333333333333333
normal_21-1_bk_01_025728__w0001,normal_21-1_bk_01_025728,0,0,0,0,1,0,1,1,1,0,0,0.0,0,train,3,0.3333333333333333
normal_21-1_bk_01_025728__w0002,normal_21-1_bk_01_025728,0,0,0,0,1,0,1,1,1,0,0,0.0,0,train,3,0.3333333333333333
normal_21-1_bk_01_029392__w0000,normal_21-1_bk_01_029392,0,0,0,1,0,0,0,0,0,0,0,0.0,0,validation,6,0.16666666666666666
normal_21-1_bk_01_029392__w0001,normal_21-1_bk_01_029392,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,validation,6,0.16666666666666666
normal_21-1_bk_01_029392__w0002,normal_21-1_bk_01_029392,0,0,0,0,1,1,0,1,1,0,1,2.0,0,validation,6,0.16666666666666666
normal_21-1_bk_01_029392__w0003,normal_21-1_bk_01_029392,0,0,0,0,1,1,1,1,2,0,1,1.0,0,validation,6,0.16666666666666666
normal_21-1_bk_01_029392__w0004,normal_21-1_bk_01_029392,0,0,0,0,1,0,1,1,1,0,0,-1.0,0,validation,6,0.16666666666666666
normal_21-1_bk_01_029392__w0005,normal_21-1_bk_01_029392,0,0,0,0,0,0,0,0,0,0,0,-2.0,0,validation,6,0.16666666666666666
normal_21-1_bk_01_031345__w0000,normal_21-1_bk_01_031345,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,2,0.5
normal_21-1_bk_01_031345__w0001,normal_21-1_bk_01_031345,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,train,2,0.5
normal_21-1_bk_01_031720__w0000,normal_21-1_bk_01_031720,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,3,0.3333333333333333
normal_21-1_bk_01_031720__w0001,normal_21-1_bk_01_031720,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,3,0.3333333333333333
normal_21-1_bk_01_031720__w0002,normal_21-1_bk_01_031720,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,train,3,0.3333333333333333
normal_21-1_bk_02_010934__w0000,normal_21-1_bk_02_010934,0,0,0,1,0,0,0,0,0,0,0,0.0,0,validation,4,0.25
normal_21-1_bk_02_010934__w0001,normal_21-1_bk_02_010934,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,validation,4,0.25
normal_21-1_bk_02_010934__w0002,normal_21-1_bk_02_010934,0,0,0,0,0,0,0,0,0,0,0,0.0,0,validation,4,0.25
normal_21-1_bk_02_010934__w0003,normal_21-1_bk_02_010934,0,0,0,0,0,0,0,0,0,0,0,0.0,0,validation,4,0.25
normal_21-1_bk_02_024375__w0000,normal_21-1_bk_02_024375,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,9,0.1111111111111111
normal_21-1_bk_02_024375__w0001,normal_21-1_bk_02_024375,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,train,9,0.1111111111111111
normal_21-1_bk_02_024375__w0002,normal_21-1_bk_02_024375,0,0,0,1,0,0,0,0,0,0,0,1.0,0,train,9,0.1111111111111111
normal_21-1_bk_02_024375__w0003,normal_21-1_bk_02_024375,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,9,0.1111111111111111
normal_21-1_bk_02_024375__w0004,normal_21-1_bk_02_024375,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,train,9,0.1111111111111111
normal_21-1_bk_02_024375__w0005,normal_21-1_bk_02_024375,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,9,0.1111111111111111
normal_21-1_bk_02_024375__w0006,normal_21-1_bk_02_024375,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,9,0.1111111111111111
normal_21-1_bk_02_024375__w0007,normal_21-1_bk_02_024375,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,9,0.1111111111111111
normal_21-1_bk_02_024375__w0008,normal_21-1_bk_02_024375,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,9,0.1111111111111111
normal_21-1_bk_02_026313__w0000,normal_21-1_bk_02_026313,0,0,0,0,0,0,0,0,0,0,0,0.0,0,validation,4,0.25
normal_21-1_bk_02_026313__w0001,normal_21-1_bk_02_026313,0,0,0,0,0,0,0,0,0,0,0,0.0,0,validation,4,0.25
normal_21-1_bk_02_026313__w0002,normal_21-1_bk_02_026313,0,0,0,0,0,0,0,0,0,0,0,0.0,0,validation,4,0.25
normal_21-1_bk_02_026313__w0003,normal_21-1_bk_02_026313,0,0,0,0,1,0,1,1,1,0,0,2.0,0,validation,4,0.25
normal_21-1_bk_02_028892__w0000,normal_21-1_bk_02_028892,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,5,0.2
normal_21-1_bk_02_028892__w0001,normal_21-1_bk_02_028892,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,5,0.2
normal_21-1_bk_02_028892__w0002,normal_21-1_bk_02_028892,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,train,5,0.2
normal_21-1_bk_02_028892__w0003,normal_21-1_bk_02_028892,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,5,0.2
normal_21-1_bk_02_028892__w0004,normal_21-1_bk_02_028892,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,5,0.2
normal_21-1_bk_02_031087__w0000,normal_21-1_bk_02_031087,0,0,0,1,0,0,0,0,0,0,0,0.0,0,validation,4,0.25
normal_21-1_bk_02_031087__w0001,normal_21-1_bk_02_031087,0,0,0,1,0,0,0,0,0,0,0,0.0,0,validation,4,0.25
normal_21-1_bk_02_031087__w0002,normal_21-1_bk_02_031087,0,0,0,1,0,0,0,0,0,0,0,0.0,0,validation,4,0.25
normal_21-1_bk_02_031087__w0003,normal_21-1_bk_02_031087,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,validation,4,0.25
normal_21-1_bk_02_032255__w0000,normal_21-1_bk_02_032255,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,4,0.25
normal_21-1_bk_02_032255__w0001,normal_21-1_bk_02_032255,0,0,0,0,1,0,1,1,1,0,0,1.0,0,train,4,0.25
normal_21-1_bk_02_032255__w0002,normal_21-1_bk_02_032255,0,0,0,0,1,0,1,1,1,0,0,0.0,0,train,4,0.25
normal_21-1_bk_02_032255__w0003,normal_21-1_bk_02_032255,0,0,0,0,0,0,0,0,0,0,0,-2.0,0,train,4,0.25
normal_21-1_bk_03_001966__w0000,normal_21-1_bk_03_001966,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,3,0.3333333333333333
normal_21-1_bk_03_001966__w0001,normal_21-1_bk_03_001966,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,3,0.3333333333333333
normal_21-1_bk_03_001966__w0002,normal_21-1_bk_03_001966,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,3,0.3333333333333333
normal_21-1_bk_03_003075__w0000,normal_21-1_bk_03_003075,0,0,0,0,0,0,0,0,0,0,0,0.0,0,validation,4,0.25
normal_21-1_bk_03_003075__w0001,normal_21-1_bk_03_003075,0,0,0,0,1,0,0,1,0,0,0,1.0,0,validation,4,0.25
normal_21-1_bk_03_003075__w0002,normal_21-1_bk_03_003075,0,0,0,1,1,0,0,1,0,0,0,1.0,0,validation,4,0.25
normal_21-1_bk_03_003075__w0003,normal_21-1_bk_03_003075,0,0,0,1,0,0,0,0,0,0,0,-1.0,0,validation,4,0.25
normal_21-1_bk_03_004472__w0000,normal_21-1_bk_03_004472,0,0,0,0,0,0,0,0,0,0,0,0.0,0,test,1,1.0
normal_21-1_bk_03_004541__w0000,normal_21-1_bk_03_004541,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,6,0.16666666666666666
normal_21-1_bk_03_004541__w0001,normal_21-1_bk_03_004541,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,train,6,0.16666666666666666
normal_21-1_bk_03_004541__w0002,normal_21-1_bk_03_004541,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,6,0.16666666666666666
normal_21-1_bk_03_004541__w0003,normal_21-1_bk_03_004541,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,6,0.16666666666666666
normal_21-1_bk_03_004541__w0004,normal_21-1_bk_03_004541,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,6,0.16666666666666666
normal_21-1_bk_03_004541__w0005,normal_21-1_bk_03_004541,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,6,0.16666666666666666
normal_21-1_bk_03_004628__w0000,normal_21-1_bk_03_004628,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,6,0.16666666666666666
normal_21-1_bk_03_004628__w0001,normal_21-1_bk_03_004628,0,0,0,0,1,0,1,1,1,0,0,1.0,0,train,6,0.16666666666666666
normal_21-1_bk_03_004628__w0002,normal_21-1_bk_03_004628,0,0,0,0,1,0,1,1,1,0,0,0.0,0,train,6,0.16666666666666666
normal_21-1_bk_03_004628__w0003,normal_21-1_bk_03_004628,0,0,0,0,1,0,1,1,1,0,0,0.0,0,train,6,0.16666666666666666
normal_21-1_bk_03_004628__w0004,normal_21-1_bk_03_004628,0,0,0,0,0,0,0,0,0,0,0,-2.0,0,train,6,0.16666666666666666
normal_21-1_bk_03_004628__w0005,normal_21-1_bk_03_004628,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,6,0.16666666666666666
normal_21-1_bk_03_007200__w0000,normal_21-1_bk_03_007200,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_007200__w0001,normal_21-1_bk_03_007200,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_007200__w0002,normal_21-1_bk_03_007200,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_007200__w0003,normal_21-1_bk_03_007200,0,0,0,1,0,0,0,0,0,0,0,1.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_007200__w0004,normal_21-1_bk_03_007200,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_007200__w0005,normal_21-1_bk_03_007200,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_007200__w0006,normal_21-1_bk_03_007200,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_009209__w0000,normal_21-1_bk_03_009209,0,0,0,1,0,0,0,0,0,0,0,0.0,0,validation,11,0.09090909090909091
normal_21-1_bk_03_009209__w0001,normal_21-1_bk_03_009209,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,validation,11,0.09090909090909091
normal_21-1_bk_03_009209__w0002,normal_21-1_bk_03_009209,0,0,0,0,0,0,0,0,0,0,0,0.0,0,validation,11,0.09090909090909091
normal_21-1_bk_03_009209__w0003,normal_21-1_bk_03_009209,0,0,0,0,1,1,0,1,1,0,1,2.0,0,validation,11,0.09090909090909091
normal_21-1_bk_03_009209__w0004,normal_21-1_bk_03_009209,0,0,0,0,1,1,0,1,1,0,1,0.0,0,validation,11,0.09090909090909091
normal_21-1_bk_03_009209__w0005,normal_21-1_bk_03_009209,0,0,0,0,0,0,0,0,0,0,0,-2.0,0,validation,11,0.09090909090909091
normal_21-1_bk_03_009209__w0006,normal_21-1_bk_03_009209,0,0,0,0,0,0,0,0,0,0,0,0.0,0,validation,11,0.09090909090909091
normal_21-1_bk_03_009209__w0007,normal_21-1_bk_03_009209,0,0,0,0,0,0,0,0,0,0,0,0.0,0,validation,11,0.09090909090909091
normal_21-1_bk_03_009209__w0008,normal_21-1_bk_03_009209,0,0,0,0,0,0,0,0,0,0,0,0.0,0,validation,11,0.09090909090909091
normal_21-1_bk_03_009209__w0009,normal_21-1_bk_03_009209,0,0,0,0,0,0,0,0,0,0,0,0.0,0,validation,11,0.09090909090909091
normal_21-1_bk_03_009209__w0010,normal_21-1_bk_03_009209,0,0,0,0,0,0,0,0,0,0,0,0.0,0,validation,11,0.09090909090909091
normal_21-1_bk_03_013806__w0000,normal_21-1_bk_03_013806,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_013806__w0001,normal_21-1_bk_03_013806,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_013806__w0002,normal_21-1_bk_03_013806,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_013806__w0003,normal_21-1_bk_03_013806,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_013806__w0004,normal_21-1_bk_03_013806,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_013806__w0005,normal_21-1_bk_03_013806,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_013806__w0006,normal_21-1_bk_03_013806,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_014535__w0000,normal_21-1_bk_03_014535,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,1,1.0
normal_21-1_bk_03_018048__w0000,normal_21-1_bk_03_018048,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,2,0.5
normal_21-1_bk_03_018048__w0001,normal_21-1_bk_03_018048,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,train,2,0.5
normal_21-1_bk_03_018059__w0000,normal_21-1_bk_03_018059,0,0,0,1,1,0,0,1,0,0,0,0.0,0,train,3,0.3333333333333333
normal_21-1_bk_03_018059__w0001,normal_21-1_bk_03_018059,0,0,0,0,1,0,1,1,1,0,0,0.0,0,train,3,0.3333333333333333
normal_21-1_bk_03_018059__w0002,normal_21-1_bk_03_018059,0,0,0,0,1,0,1,1,1,0,0,0.0,0,train,3,0.3333333333333333
normal_21-1_bk_03_020293__w0000,normal_21-1_bk_03_020293,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,4,0.25
normal_21-1_bk_03_020293__w0001,normal_21-1_bk_03_020293,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,train,4,0.25
normal_21-1_bk_03_020293__w0002,normal_21-1_bk_03_020293,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,4,0.25
normal_21-1_bk_03_020293__w0003,normal_21-1_bk_03_020293,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,4,0.25
normal_21-1_bk_03_022557__w0000,normal_21-1_bk_03_022557,0,0,0,1,0,0,0,0,0,0,0,0.0,0,test,3,0.3333333333333333
normal_21-1_bk_03_022557__w0001,normal_21-1_bk_03_022557,0,0,0,0,1,0,1,1,1,0,0,1.0,0,test,3,0.3333333333333333
normal_21-1_bk_03_022557__w0002,normal_21-1_bk_03_022557,0,0,0,0,1,0,1,1,1,0,0,0.0,0,test,3,0.3333333333333333
normal_21-1_bk_03_023434__w0000,normal_21-1_bk_03_023434,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,2,0.5
normal_21-1_bk_03_023434__w0001,normal_21-1_bk_03_023434,0,0,0,0,0,0,0,0,0,0,0,-1.0,0,train,2,0.5
normal_21-1_bk_03_024160__w0000,normal_21-1_bk_03_024160,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,4,0.25
normal_21-1_bk_03_024160__w0001,normal_21-1_bk_03_024160,0,0,0,0,1,0,1,1,1,0,0,1.0,0,train,4,0.25
normal_21-1_bk_03_024160__w0002,normal_21-1_bk_03_024160,0,0,0,0,1,0,1,1,1,0,0,0.0,0,train,4,0.25
normal_21-1_bk_03_024160__w0003,normal_21-1_bk_03_024160,0,0,0,0,0,0,0,0,0,0,0,-2.0,0,train,4,0.25
normal_21-1_bk_03_025727__w0000,normal_21-1_bk_03_025727,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,4,0.25
normal_21-1_bk_03_025727__w0001,normal_21-1_bk_03_025727,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,4,0.25
normal_21-1_bk_03_025727__w0002,normal_21-1_bk_03_025727,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,4,0.25
normal_21-1_bk_03_025727__w0003,normal_21-1_bk_03_025727,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,4,0.25
normal_21-1_bk_03_029316__w0000,normal_21-1_bk_03_029316,0,0,0,1,1,0,1,1,1,0,0,0.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_029316__w0001,normal_21-1_bk_03_029316,0,0,0,0,1,0,1,1,1,0,0,-1.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_029316__w0002,normal_21-1_bk_03_029316,0,0,0,0,0,0,0,0,0,0,0,-2.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_029316__w0003,normal_21-1_bk_03_029316,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_029316__w0004,normal_21-1_bk_03_029316,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_029316__w0005,normal_21-1_bk_03_029316,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_029316__w0006,normal_21-1_bk_03_029316,0,0,0,0,0,0,0,0,0,0,0,0.0,0,train,7,0.14285714285714285
normal_21-1_bk_03_029557__w0000,normal_21-1_bk_03_029557,0,0,0,1,0,0,0,0,0,0,0,0.0,0,train,2,0.5
